ActionNumber,FChMotion,WaitTime01,TextBubble1,Question,Answers,Correct,TextBubble2,NChMotion,StandingPosition,MovePath,InAction1,InAction2,IsMeA,IsMeB,IsMeC,IsWaterOn,IsWaterOff,TagName,video,ActionEnum
0,Idle_01,1,"""true""",,,1,"""false""",Idle_01,Point001,,,,"""false""","""false""","""false""","""false""","""false""",Captain,,a00
1,Idle_01,2,"""false""",Q_06,Q_06|Q_06|Q_06,0,"""false""",Walking_01,,Path001,,,"""false""","""false""","""false""","""false""","""false""",,,a01
2,Idle_01,2,"""true""",Q_22,Q_22|Q_22|Q_22,2,"""false""",Idle_01,,,,,"""false""","""false""","""false""","""false""","""false""",,,a02
3,Idle_01,2,"""true""",,,2,"""false""",Idle_01,,,,,"""false""","""false""","""false""","""false""","""false""",,,a03
4,Idle_01,2,"""true""",,,0,"""false""",Idle_01,,,,,"""false""","""false""","""false""","""false""","""false""",,,a04
5,Idle_01,2,"""true""",Q_27,Q_257|Q_27|Q_27,1,"""false""",Walking_01,,Path002,,,"""false""","""false""","""false""","""false""","""false""",,,a05
6,Idle_01,2,"""true""",,,2,"""false""",Idle_01,,,,,"""false""","""false""","""false""","""false""","""false""",,,a06
7,Idle_01,2,"""true""",,,1,"""false""",Idle_01,,,,,"""false""","""false""","""false""","""false""","""false""",,,a07
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
