ActionNumber,TextBubble1Role,TextBubble1Text,TextBubble1Audio
0,Broadcast,Dril Dril Dril Dril Dril Dril Dril Dril Dril Dril Dril Dril Dril Dril Dril Dril Dril Dril Dril Dril Dril Dril Dril Dril Dril Dril Dril Dril ,act_001_000_000_000_000_000
2,,,
2,Engineer chief,"Captain, we have fire in engine room generator, B class medium size, Sir.",act_001_000_001_000_001_001
2,Engineer 1st,"Captain, we have fire in engine room generator, B class medium size, Sir.",act_001_000_001_000_001_001
4,Engineer 1st,"Captain, we have fire in engine room generator, B class medium size, Sir.",act_001_000_009_000_001_001
4,Engineer chief,"Captain, we have fire in engine room generator, B class medium size, Sir.",act_001_000_009_000_001_002
5,,,
5,Captain,"Captain, we have fire in engine room generator, B class medium size, Sir.",act_001_000_009_000_001_001
5,Engineer 1st,"Captain, we have fire in engine room generator, B class medium size, Sir.",act_001_000_001_000_001_001
7,Engineer 1st,"Captain, we have fire in engine room generator, B class medium size, Sir.",act_001_000_009_000_001_001
7,Captain,"Captain, we have fire in engine room generator, B class medium size, Sir.",act_001_000_009_000_001_002
8,Broadcast,The Situation is finished.,act_001_000_015_000_003_001
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
