ActionNumber,FChMotion,WaitTime01,TextBubble1,TextBubble1Audio,Question,Answers,Correct,TextBubble2,TextBubble2Audio,NChMotion,StandingPosition,MovePath,InAction1,InAction2,IsMeA,IsMeB,IsMeC,IsWaterOn,IsWaterOff
0,Idle_01,2,"갑판수B|1항사님, NO.5(P) BALLAST TANK 점검 작업중이던 갑판장이 14시 의식을 잃고 쓰러졌습니다.|1항사|알겠습니다. 선장님께 보고 드리겠습니다.",,NO.5(P) BALLAST TANK의 용도는?,BALLAST TANK|FUEL TANK|화물창과 기관실 사이의 빈 공간,2,,,Idle_01,CrewB_pointer01,,,,"""false""","""false""","""false""","""false""","""false"""
1,Idle_01,2,"||2항사|DRILL DRILL DRILL, ENCLOSED SPACE RESCUE DRILL, RESCUE THE BOSUN IN NO.5(P) BALLAST SPACE ON DECK|갑판수B|""Enclosed Space Drill!"" ""Enclosed Space Drill!"" ",,밀폐구역 구조훈련 비상대응 소집장소는 어디인가?,Muster Station (선미)|갑판|NO.5(P) BALLAST TANK,1,,,Walking_01,,Deck_muster,,,"""false""","""false""","""false""","""false""","""false"""
2,Idle_01,2,"||1항사|브릿지 현장 감도 있습니까?|||선장|네, 감도 좋습니다|||1항사|MUSTER STATION 집결 인원보고 드립니다. 총원 17명, 열외 항해당직 2명, 기관부원 4명, 현재원 11명 이상",,갑판수A의 소지품은 무엇인가?,"안전벨트, 안전밧줄|Portable Fan|소방원장구",2,,,Idle_01,,,,,"""false""","""false""","""false""","""false""","""false"""
3,Idle_01,2,"||선장|전 선원은 현장에서 비상대응을 위해 BALLAST TANK 5(P) 앞으로 이동 바랍니다.|||1항사|네, 현장으로 이동하겠습니다.",,,,,,,Walking_01,,Muster_BWT,,,"""false""","""false""","""false""","""false""","""false"""
4,Idle_01,2,"||1항사|소방원장구 착용자 갑판수A, 갑판수B는 장비 착용하기 바랍니다|갑판수B|네, 소방원 장구 착용하겠습니다",,공기 중 산소농도의 비율은?,15%|18%|21%,2,,,Idle_01,,,,,"""false""","""false""","""false""","""false""","""false"""
5,Idle_01,2,"||1항사|갑판수A, 갑판수B는 NO.5(P) BALLAST TANK 진입해서 부상자 구조 바랍니다|갑판수B|네, 알겠습니다",,,,,,,Idle_01,,,,,"""false""","""false""","""false""","""false""","""false"""
6,Idle_01,2,||기관장|삼각구조대와 Harness 연결하여 부상자 구조하도록 하겠습니다,,Harness의 용도는?,환자를 수직으로 끌어올리는 들것|긴급으로 산소공급을 위한 장치|밀폐구역의 산소 농도 측정,0,,,Idle_01,,,,,"""false""","""false""","""false""","""false""","""false"""
7,Idle_01,2,"||1항사|갑판장의 의식이 없으니 심폐소생술 시행 바랍니다|||3항사|네, 응급대응반 심폐소생술 시행 하겠습니다.",,"호흡이 정지되어, 뇌사가 진행되기 시작하는 시간은?",2분|4분|6분 ,1,,,Idle_01,,,,,"""false""","""false""","""false""","""false""","""false"""
8,Idle_01,2,"||3항사|심폐소생술 시행 결과, 다행히 갑판장의 호흡이 돌아왔습니다|선장|다행입니다. 의식이 회복될 때까지 병원 침실에서 휴식을 취하면서 경과를 보고 바랍니다. 훈련 종료하겠습니다.",,부상자가 호흡을 회복하였으나 의식이 돌아오지 않을 경우 필요한 조치는?,의식을 회복할 때까지 기다린다|전문의의 자문을 구한다|헬리콥터를 수배하여 인근 병원으로 긴급 호송한다,2,,,Idle_01,,,,,"""false""","""false""","""false""","""false""","""false"""
9,Idle_01,2,"||1항사|밀폐구역 구조훈련 상황 종료합니다. 사용한 물품 제자리에 정리해 주시고, 자기 임무 역할 숙지 바랍니다.",,밀폐구역 구조훈련을 시행해야 하는 주기는?,매월 시행|2개월 주기 시행|3개월 주기 시행,1,,,Idle_01,,,,,"""false""","""false""","""true""","""false""","""false"""
