ActionNumber,TextBubble1Role,TextBubble1Text,TextBubble1Audio
0,Broadcast,Dril Dril Dril Dril Dril Dril Dril Dril Dril Dril Dril Dril Dril Dril Dril Dril Dril Dril Dril Dril Dril Dril Dril Dril Dril Dril Dril Dril ,act_001_000_000_000_000_000
2,,,
2,Captain,"Captain, we have fire in engine room generator, B class medium size, Sir.",act_001_000_001_000_001_001
2,Engineer chief,"Captain, we have fire in engine room generator, B class medium size, Sir.",act_001_000_001_000_001_001
3,Engineer chief,"Captain, we have fire in engine room generator, B class medium size, Sir.",
3,,,
3,Engineer chief,"Captain, we have fire in engine room generator, B class medium size, Sir.",act_001_000_001_000_001_001
3,Engineer 1st,"Captain, we have fire in engine room generator, B class medium size, Sir.",act_001_000_009_000_001_001
3,,,
3,Engineer 2nd,"Captain, we have fire in engine room generator, B class medium size, Sir.",act_001_000_009_000_001_001
3,,,
3,Engineer 3nd,"Captain, we have fire in engine room generator, B class medium size, Sir.",act_001_000_009_000_003_001
4,,,
4,Engineer 1st,"Captain, we have fire in engine room generator, B class medium size, Sir.",act_001_000_010_000_001_001
4,,,
4,Engineer 2nd,"Captain, we have fire in engine room generator, B class medium size, Sir.",act_001_000_010_000_001_003
4,,,
4,Engineer 3nd,"Captain, we have fire in engine room generator, B class medium size, Sir.",act_001_000_010_000_001_003
4,Engineer chief,"Total crew 17, navigational duty 3, now 14, sir.",act_001_000_011_000_003_001
5,Engineer chief,"Captain, we have injury on scene. Oiler C has ankle damage during fire fighting work. Captain, we have injury on scene. Oiler C has ankle damage during fire fighting work. Captain, we have injury on scene. Oiler C has ankle damage during fire fighting work. ",act_001_000_014_000_001_001
5,Captain,"Captain, we have injury on scene. Oiler C has ankle damage during fire fighting work. Captain, we have injury on scene. Oiler C has ankle damage during fire fighting work. Captain, we have injury on scene. Oiler C has ankle damage during fire fighting work. ",act_001_000_014_000_001_001
6,,,
6,Captain,"Captain, we have injury on scene. Oiler C has ankle damage during fire fighting work. Captain, we have injury on scene. Oiler C has ankle damage during fire fighting work. Captain, we have injury on scene. Oiler C has ankle damage during fire fighting work. ",act_001_000_015_000_001_001
6,Engineer chief,"Captain, we have injury on scene. Oiler C has ankle damage during fire fighting work. Captain, we have injury on scene. Oiler C has ankle damage during fire fighting work. Captain, we have injury on scene. Oiler C has ankle damage during fire fighting work. ",act_001_000_015_000_001_001
7,Broadcast,The Situation is finished.,act_001_000_015_000_003_001
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
