ActionNumber,FChMotion,WaitTime01,TextBubble1,Question,Answers,Correct,TextBubble2,NChMotion,StandingPosition,MovePath,InAction1,InAction2,IsMeA,IsMeB,IsMeC,IsWaterOn,IsWaterOff,TagName,video,ActionEnum
0,Idle_01,2,"""false""",, ,0,"""false""",Idle_01,Point001,,,,"""false""","""false""","""false""","""false""","""false""",,,a00
1,Idle_01,2,"""true""",What is the proper order?,Order to third offier hand over|Order to notify surrounding vessels|Order to report to port State and company,0,"""false""",Idle_01,,,,,"""false""","""false""","""false""","""false""","""false""",,,a01
2,Idle_01,2,"""false""",What would you like to do?,Move to muster station|Continue checking the cargo|Go to the bridge and check the situation,0,"""false""",Idle_01,,,,,"""false""","""false""","""false""","""false""","""false""",,,a02
3,Idle_01,2,"""false""",Where is the location of fire?,Accommodation|Engine room|Cargo tank,0,"""false""",Idle_01,,,,,"""false""","""false""","""false""","""false""","""false""",,,a03
4,Idle_01,2,"""false""",What kind of fire?,Type C electric fire|Type A general fire|Type B oil fires,0,"""false""",Idle_01,,,,,"""false""","""false""","""false""","""false""","""false""",,,a04
5,Idle_01,2,"""false""",What size of fire?,Small|Large|Medium,0,"""false""",Idle_01,,,,,"""false""","""false""","""false""","""false""","""false""",,,a05
6,Idle_01,2,"""false""",Where is the designated muster station?,Stern deck|Inside engine room|Bridge,0,"""false""",Idle_01,,,,,"""false""","""false""","""false""","""false""","""false""",,,a06
7,Idle_01,2,"""false""",,,0,"""false""",Walking_01,,Path001,,,"""false""","""false""","""false""","""false""","""false""",,,a07
8,Idle_01,2,"""false""",,,0,"""false""",Idle_01,,,,,"""false""","""false""","""false""","""false""","""false""",,,a08
9,Idle_01,2,"""false""",,,0,"""false""",Idle_01,,,,011|a03,"""true""","""false""","""false""","""false""","""false""",,,a09
10,Idle_01,2,"""false""",,,0,"""false""",Walking_01,,Path002,,,"""false""","""false""","""false""","""false""","""false""",,,a10
11,Idle_01,2,"""false""",,,0,"""false""",Idle_01,,,,,"""false""","""false""","""false""","""true""","""false""",,,a11
12,Idle_01,2,"""false""",,,0,"""false""",Idle_01,,,,,"""false""","""false""","""false""","""false""","""true""",,,a12
13,Idle_01,2,"""true""",,,0,"""false""",Idle_01,,,,,"""false""","""false""","""false""","""false""","""false""",,,a13
