ActionNumber,TextBubble1Role,TextBubble1Text,TextBubble1Audio
0,,,
0,Officer 1st,"Captain, we have fire in engine room generator, B class medium size, Sir.",act_001_000_001_000_001_001
0,Bosun,"Captain, we have fire in engine room generator, B class medium size, Sir.",act_001_000_001_000_001_001
2,Broadcast,Dril Dril Dril Dril Dril Dril Dril Dril Dril Dril Dril Dril Dril Dril Dril Dril Dril Dril Dril Dril Dril Dril Dril Dril Dril Dril Dril Dril ,act_001_000_000_000_000_000
4,,,
4,Officer 1st,"Captain, we have fire in engine room generator, B class medium size, Sir.",act_001_000_009_000_001_002
4,Bosun,"Captain, we have fire in engine room generator, B class medium size, Sir.",act_001_000_009_000_001_002
6,Bosun,"Captain, we have fire in engine room generator, B class medium size, Sir.",act_001_000_009_000_001_001
6,Officer 1st,"Captain, we have fire in engine room generator, B class medium size, Sir.",act_001_000_001_000_001_001
8,Broadcast,The Situation is finished.,act_001_000_015_000_003_001
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
