ActionNumber,FChMotion,WaitTime01,TextBubble1,Question,Answers,Correct,TextBubble2,NChMotion,StandingPosition,MovePath,InAction1,InAction2,IsMeA,IsMeB,IsMeC,IsWaterOn,IsWaterOff,TagName,video,ActionEnum
0,Idle_01,1,"""true""",,,0,"""false""",Idle_01,Point001,,,,"""false""","""false""","""false""","""false""","""false""",,,a00
1,Idle_01,2,"""false""",Q_44,Q_44|Q_44|Q_44,0,"""false""",Idle_01,,,,,"""false""","""false""","""false""","""false""","""false""",,,a01
2,Idle_01,2,"""false""",Q_45,Q_45|Q_45|Q_45,2,"""false""",Idle_01,,,,,"""false""","""false""","""false""","""false""","""false""",,,a02
3,Idle_01,2,"""false""",Q_46,Q_46|Q_46|Q_46,0,"""false""",Idle_01,,,,,"""false""","""false""","""false""","""false""","""false""",,,a03
4,Idle_01,2,"""false""",Q_47,Q_47|Q_47|Q_47,1,"""false""",Idle_01,,,,,"""false""","""false""","""false""","""false""","""false""",,,a04
5,Idle_01,2,"""false""",Q_50,Q_50|Q_50|Q_50,2,"""false""",Walking_01,,Path001,,,"""false""","""false""","""false""","""false""","""false""",,,a05
6,Idle_01,2,"""true""",,,1,"""false""",Idle_01,,,,,"""false""","""false""","""false""","""false""","""false""",,,a06
7,Idle_01,2,"""false""",,,0,"""false""",Idle_01,,,,,"""false""","""false""","""false""","""false""","""false""",,,a07
8,Idle_01,2,"""false""",,,0,"""false""",Walking_01,,Path002,,,"""false""","""false""","""false""","""false""","""false""",,,a08
9,Idle_01,2,"""false""",,,0,"""false""",Idle_01,,,,,"""false""","""false""","""false""","""false""","""false""",,,a09
10,Idle_01,2,"""true""",,,0,"""false""",Idle_01,,,,,"""false""","""false""","""false""","""false""","""false""",,,a10
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
