ActionNumber,FChMotion,WaitTime01,TextBubble1,Question,Answers,Correct,TextBubble2,NChMotion,StandingPosition,MovePath,InAction1,InAction2,IsMeA,IsMeB,IsMeC,IsWaterOn,IsWaterOff,TagName,video,ActionEnum
0,Idle_01,2,"""false""",,,,"""false""",Idle_01,Point001,,,,"""false""","""false""","""false""","""false""","""false""",,,a00
1,Idle_01,2,"""true""",What is the proper order?,Emergency alarm and announcing|Extinguishing fire at engine room|Inspection of engine room condition,0,"""false""",Idle_01,,,,,"""false""","""false""","""false""","""false""","""false""",,,a01
2,Idle_01,2,"""false""",What items should I pack before moving to the bridge?,"To wear the working clothes|Safety shoes, safety helmet|Tranceiver",2,"""false""",Walking_01,,Path001,,002|a00|003|a01|004|a00|006|a00|007|a00|008|a00|009|a00|010|a00|011|a00|013|a00|014|a00|015|a00|016|a00|017|a00,"""false""","""false""","""false""","""false""","""false""",,,a02
3,Idle_01,2,"""true""",What is the proper order?,Order to third offier hand over|Order to notify surrounding vessels|Order to report to port State and company,0,"""false""",Idle_01,,,,,"""false""","""false""","""false""","""false""","""false""",,,a03
4,Idle_01,2,"""false""",What would you like to do?,Move to muster station|Continue checking the cargo|Go to the bridge and check the situation,0,"""false""",Idle_01,,,,,"""false""","""false""","""false""","""false""","""false""",,,a04
5,Idle_01,2,"""false""",Where is the location of fire?,Accommodation|Engine room|Cargo tank,0,"""false""",Idle_01,,,,,"""false""","""false""","""false""","""false""","""false""",,,a05
6,Idle_01,2,"""false""",What kind of fire?,Type C electric fire|Type A general fire|Type B oil fires,0,"""false""",Idle_01,,,,,"""false""","""false""","""false""","""false""","""false""",,,a06
7,Idle_01,2,"""false""",What size of fire?,Small|Large|Medium,0,"""false""",Idle_01,,,,,"""false""","""false""","""false""","""false""","""false""",,,a07
8,Idle_01,2,"""false""",Where is the designated muster station?,Stern deck|Inside engine room|Bridge,0,"""false""",Idle_01,,,,002|a01|004|a01|006|a01|007|a07|008|a01|009|a01|010|a07|011|a01|013|a07|014|a01|015|a01|016|a01|017|a01,"""false""","""false""","""false""","""false""","""false""",,,a08
9,Idle_01,2,"""true""",What is the proper order?,Order to third offier hand over|Order to notify surrounding vessels|Order to report to port State and company,0,"""false""",Idle_01,,,,,"""false""","""false""","""false""","""false""","""false""",,,a09
10,Idle_01,2,"""true""",What office should be reported if the vessel with the fire is located in the Busan port?,Vessel Traffic Service Center|Busan Marine Police|Busan Port Authority,0,"""false""",Idle_01,,,003|a02,,"""false""","""false""","""false""","""false""","""false""",,,a10
11,Idle_01,2,"""true""",What is the way to indicate a vessel restricted in her ability to maneuver?,Two black ball on the mast(Daytime)|Sounding the alarm around the ship.|Signal flag posting.,0,"""false""",Idle_01,,,,,"""false""","""false""","""false""","""false""","""false""",,,a11
12,Idle_01,2,"""true""",,,,"""false""",Idle_01,,,,,"""false""","""false""","""false""","""false""","""false""",,,a12
13,Idle_01,2,"""true""",Where is the designated muster station?,Stern deck|Inside engine room|Bridge,0,"""false""",Idle_01,,,,,"""false""","""false""","""false""","""false""","""false""",,,a13
14,Idle_01,2,"""true""",Where is Fireman's outfit?,FIRE CONTROL ROOM|Bosun store|Bridge,0,"""false""",Idle_01,,,,010|a09,"""false""","""false""","""false""","""false""","""false""",,,a14
15,Idle_01,2,"""true""",What is the role of the boundary cooling hose team?,Cooling the heat in the fire zone.|Blocking of oxygen entering the engine room.|Same as the role of fire hose team.,0,"""false""",Idle_01,,,,,"""false""","""false""","""false""","""false""","""false""",,,a15
16,Idle_01,2,"""true""",What are the key checks for someone wearing a fireman's outfit?,BA cylinder pressure|Appearance of fireman's outfit|Mask wearing condition.,0,"""false""",Idle_01,,,,,"""false""","""false""","""false""","""false""","""false""",,,a16
17,Idle_01,2,"""true""",What equipment should someone wearing a fireman's outfit use?,Lifeline|Lantern|Fire extinguisher,0,"""false""",Idle_01,,,,,"""false""","""false""","""false""","""false""","""false""",,,a17
18,Idle_01,2,"""true""",,,,"""false""",Idle_01,,,,,"""false""","""false""","""false""","""false""","""false""",,,a18
19,Idle_01,2,"""true""",Who is in the Emergency Support Team?,Second officer & cooker|Chief engineer & first engineer|Thrid officer & bosun,0,"""false""",Idle_01,,,,,"""false""","""false""","""false""","""false""","""false""",,,a19
20,Idle_01,2,"""true""",,,,"""false""",Idle_01,,,,,"""false""","""false""","""false""","""false""","""false""",,,a20
21,Idle_01,2,"""true""",,,,"""false""",Idle_01,,,,,"""false""","""false""","""false""","""false""","""false""",,,a21
22,Idle_01,2,"""true""",Where should I report if a fire has been suppressed?,"Company, Port State & Surrounding Ship|Marine Police Dept, Port Authority|Mayor & Busan Port Corporation",0,"""false""",Idle_01,,,,,"""false""","""false""","""false""","""false""","""false""",,,a22
23,Idle_01,2,"""true""",,,,"""false""",Idle_01,,,,,"""false""","""false""","""false""","""false""","""false""",,,a23
24,Idle_01,2,"""true""",,,,"""false""",Idle_01,,,,,"""false""","""false""","""false""","""false""","""false""",,,a24
