ActionNumber,TextBubble1Role,TextBubble1Text,TextBubble1Audio
0,Emergency Alarm,"DRILL DRILL DRILL FIRE IN E/R Boiler, B Class Fire Medium Size. ALL STATION ALL S/B at Muster Station",act_010_000_000_000_000_001
5,,,
5,Chief officer,"Ableseaman-A, bring the fireman's outfit and come to muster station.",act_010_000_005_000_001_001
5,Ableseaman-A,"Yes, sir.",act_010_000_005_000_002_001
6,,,
6,Chief officer,"Captain., How do you read me?",act_010_000_006_000_001_001
6,,,
6,Captain.,"Good, I read you well.",act_010_000_006_000_003_001
6,,,
6,Chief officer,"Muster Station report, Total crew 17, navigational duty 3, now 14, sir.",act_010_000_006_000_005_001
7,,,
7,Captain,Rodger. Now we have medium size fire in engine room. Prepare the two personnel with fireman's outfit.,|act_010_000_007_000_001_001
7,,,
7,Chief officer,"Copy, sir. We will prepare the two personnel with fireman's outfit.",act_010_000_007_000_003_001
8,,,
8,Captain.,"Hose team, arrange the fire hose on scene, and cooling team, arrange the fire hose on both side of engine room. Hose team, report me when you are ready with form applicator.",act_010_000_008_000_001_001
8,,,
8,Chief officer,Rodger.,act_010_000_008_000_003_001
9,,,
9,Chief officer,"Bosun helps with ABA, Cook helps with ABB to wear the fireman's outfit.|",act_010_000_009_000_001_001
9,Ableseaman-A,Rodger.,act_010_000_009_000_002_001
10,,,
10,Chief officer,"Pressure of breathing apparatus 30Mpa, By pass valve in good operation, Alarm test. Mask in good condition, explosion proof lantern in good condition. Now time 14:10, ABA, ABB are ready to go for fire-fighting. ",act_010_000_010_000_001_001
12,Ableseaman-A,"Now engine room fire is too big, cannot control.",act_010_000_012_000_000_001
12,Chief officer,"Captain., Now engine room fire is out of control.",act_010_000_012_000_001_001
12,,,
12,Captain.,All crew escape from engine room. Chief officer take the roll call when fixed CO2 fire-fighting system is ready.,act_010_000_012_000_003_001
12,,,
12,Chief officer,Rodger.,act_010_000_012_000_005_001
13,,,
13,Chief officer,"Muster Station report, Total crew 17, navigational duty 3, now 14, sir.|||",act_010_000_013_000_001_001
13,,,
13,Captain.,"Chief engineer, Check the E/R ventilation be closed again.|||",act_010_000_013_000_003_001
13,,,
13,Chief engineer,"Rodger, I confirmed to shut all ventilation and ducts to engine room.|||",act_010_000_013_000_005_001
13,,,
13,Captain.,Operate the fixed CO2 fire-fighting system!|||,act_010_000_013_000_007_001
13,,,
13,Chief engineer,"Rodger, the fixed CO2 fire-fighting system was released in engine room.",act_010_000_013_000_009_001
14,,,
14,Captain,Now I suppose one hour has passed since we release the fixed CO2 fire-fighting system. It's time to check engine room fire condition.,|act_010_000_014_000_001_001
14,,,
14,Chief engineer,Rodger.,act_010_000_014_000_003_001
15,Ableseaman-A,"Now engine room fire is too big, cannot control.",|act_010_000_015_000_000_001
15,Chief officer,"Captain., Now engine room fire is out of control.",|act_010_000_015_000_001_001
16,,,
16,Captain.,All crew prepare to abandon ship drill.,act_010_000_016_000_001_001
