ActionNumber,TextBubble1Role,TextBubble1Text,TextBubble1Audio,,,,,,,,,
0,,,,,,,,,,,,
0,Officer 1st,"Captain, we have fire in engine room generator, B class medium size, Sir.",act_001_000_001_000_001_001,,,,,,,,,
0,,,,,,,,,,,,
0,Officer 1st,"Captain, we have fire in engine room generator, B class medium size, Sir.",act_001_000_001_000_001_001,,,,,,,,,
0,Captain,"Captain, we have fire in engine room generator, B class medium size, Sir.",act_001_000_001_000_001_001,,,,,,,,,
0,Officer 1st,Fire-fighting team report.,act_001_000_008_000_000_001,,,,,,,,,
0,Captain,"On scene report of fire fighting team. We are ready, sir.",act_001_000_008_000_001_001,,,,,,,,,
1,Captain,"On scene report of fire fighting team. We are ready, sir.",act_001_000_008_000_001_001,,,,,,,,,
1,Officer 2nd,"Captain, we have injury on scene. Oiler C has ankle damage during fire fighting work.",act_001_000_009_000_001_001,,,,,,,,,
2,Broadcast,Drill Drill Drill Drill Drill Drill Drill Drill Drill Drill Drill Drill Drill Drill Drill Drill Drill Drill ,act_001_000_009_000_001_002,,,,,,,,,
3,Captain,Engine room fire is out of control sir. The fire is too big size now.,act_001_000_009_000_003_001,,,,,,,,,
3,Busan,Engine room fire is out of control sir. The fire is too big size now.,act_001_000_009_000_003_002,,,,,,,,,
3,Captain,Engine room fire is out of control sir. The fire is too big size now.,act_001_000_009_000_003_003,,,,,,,,,
3,DP,Engine room fire is out of control sir. The fire is too big size now.,act_001_000_009_000_003_004,,,,,,,,,
3,Captain,Engine room fire is out of control sir. The fire is too big size now.,act_001_000_009_000_003_005,,,,,,,,,
3,Officer 2nd,Engine room fire is out of control sir. The fire is too big size now.,act_001_000_009_000_003_006,,,,,,,,,
4,,,,,,,,,,,,
4,Officer 1st,Now I suppose one hour has passed since we release the fixed CO2 fire-fighting system.,act_001_000_009_000_003_008,,,,,,,,,
4,Captain,it's time to check engine room fire condition|Chief officer|Rodger.,act_001_000_009_000_003_009,,,,,,,,,
4,Officer 1st,Report the engine room fire condition,act_001_000_009_000_003_010,,,,,,,,,
5,Captain,"We checked engine room, but the fire is out of control sir.",act_001_000_009_000_003_011,,,,,,,,,
5,Officer 1st,"We checked engine room, but the fire is out of control sir.",act_001_000_009_000_003_012,,,,,,,,,
6,,,,,,,,,,,,
6,Officer 1st,"Repeat, we failed to extinguish fire in engine room, sir.",act_001_000_009_000_003_014,,,,,,,,,
6,Captain,"Repeat, we failed to extinguish fire in engine room, sir.",act_001_000_009_000_003_015,,,,,,,,,
6,Officer 1st,"Repeat, we failed to extinguish fire in engine room, sir.",act_001_000_009_000_003_016,,,,,,,,,
7,,,,,,,,,,,,
7,Officer 1st,"Repeat, we failed to extinguish fire in engine room, sir.",act_001_000_009_000_003_018,,,,,,,,,
7,,,,,,,,,,,,
7,Officer 1st,"Repeat, we failed to extinguish fire in engine room, sir.",act_001_000_009_000_003_020,,,,,,,,,
7,Captain,"Repeat, we failed to extinguish fire in engine room, sir.",act_001_000_009_000_003_021,,,,,,,,,
8,,,,,,,,,,,,
8,Officer 1st,"Repeat, we failed to extinguish fire in engine room, sir.",act_001_000_009_000_003_023,,,,,,,,,
8,Captain,"Repeat, we failed to extinguish fire in engine room, sir.",act_001_000_009_000_003_024,,,,,,,,,
9,Captain,"Repeat, we failed to extinguish fire in engine room, sir.",act_001_000_009_000_003_025,,,,,,,,,
9,Officer 2nd,"Repeat, we failed to extinguish fire in engine room, sir.",act_001_000_009_000_003_026,,,,,,,,,
9,,,,,,,,,,,,
9,Officer 2nd,"Repeat, we failed to extinguish fire in engine room, sir.",act_001_000_009_000_003_028,,,,,,,,,
10,BroadCast,"Repeat, we failed to extinguish fire in engine room, sir.",act_001_000_009_000_003_029,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
