ActionNumber,TextBubble1Role,TextBubble1Text,TextBubble1Audio,,,,,,,,,
0,Officer 1st,"Captain, we have fire in engine room generator, B class medium size, Sir.",act_001_000_001_000_001_001,,,,,,,,,
0,,,,,,,,,,,,
0,Officer 1st,"Captain, we have fire in engine room generator, B class medium size, Sir.",act_001_000_001_000_001_001,,,,,,,,,
0,Captain,"Captain, we have fire in engine room generator, B class medium size, Sir.",act_001_000_001_000_001_001,,,,,,,,,
0,Officer 1st,Fire-fighting team report.,act_001_000_008_000_000_001,,,,,,,,,
0,Captain,"On scene report of fire fighting team. We are ready, sir.",act_001_000_008_000_001_001,,,,,,,,,
1,Officer 1st,Drill Drill Drill Drill Drill Drill Drill Drill Drill Drill Drill Drill Drill Drill Drill Drill Drill Drill Drill ,act_001_000_008_000_001_002,,,,,,,,,
8,Officer 1st,"On scene report of fire fighting team. We are ready, sir.",act_001_000_008_000_001_003,,,,,,,,,
8,Captain,"On scene report of fire fighting team. We are ready, sir.",act_001_000_008_000_001_004,,,,,,,,,
8,Officer 1st,"On scene report of fire fighting team. We are ready, sir.",act_001_000_008_000_001_005,,,,,,,,,
9,,,,,,,,,,,,
9,Captain,"On scene report of fire fighting team. We are ready, sir.On scene report of fire fighting team. We are ready, sir.On scene report of fire fighting team. We are ready, sir.On scene report of fire fighting team. We are ready, sir.On scene report of fire fighting team. We are ready, sir.On scene report of fire fighting team. We are ready, sir.On scene report of fire fighting team. We are ready, sir.On scene report of fire fighting team. We are ready, sir.",act_001_000_008_000_001_004,,,,,,,,,
9,Officer 1st,"On scene report of fire fighting team. We are ready, sir.",act_001_000_008_000_001_005,,,,,,,,,
10,Officer 1st,"On scene report of fire fighting team. We are ready, sir.",act_001_000_008_000_001_009,,,,,,,,,
10,,,,,,,,,,,,
10,Officer 1st,"On scene report of fire fighting team. We are ready, sir.",act_001_000_008_000_001_011,,,,,,,,,
10,,,,,,,,,,,,
10,Officer 1st,"On scene report of fire fighting team. We are ready, sir.",act_001_000_008_000_001_013,,,,,,,,,
10,Engineer 1st,"On scene report of fire fighting team. We are ready, sir.",act_001_000_008_000_001_014,,,,,,,,,
10,,,,,,,,,,,,
10,Engineer 2nd,"On scene report of fire fighting team. We are ready, sir.",act_001_000_008_000_001_016,,,,,,,,,
10,,,,,,,,,,,,
10,Officer 3rd,"On scene report of fire fighting team. We are ready, sir.",act_001_000_008_000_001_018,,,,,,,,,
10,,,,,,,,,,,,
10,Bosun,"On scene report of fire fighting team. We are ready, sir.",act_001_000_008_000_001_020,,,,,,,,,
11,,,,,,,,,,,,
11,Engineer 1st,"On scene report of fire fighting team. We are ready, sir.",act_001_000_008_000_001_022,,,,,,,,,
11,Officer 1st,"On scene report of fire fighting team. We are ready, sir.",act_001_000_008_000_001_023,,,,,,,,,
13,,,,,,,,,,,,
13,Engineer 2nd,"On scene report of fire fighting team. We are ready, sir.",act_001_000_008_000_001_025,,,,,,,,,
13,Officer 1st,"On scene report of fire fighting team. We are ready, sir.",act_001_000_008_000_001_026,,,,,,,,,
15,Officer 1st,"On scene report of fire fighting team. We are ready, sir.",act_001_000_008_000_001_027,,,,,,,,,
15,Captain,"On scene report of fire fighting team. We are ready, sir.",act_001_000_008_000_001_028,,,,,,,,,
15,Officer 1st,"On scene report of fire fighting team. We are ready, sir.",act_001_000_008_000_001_029,,,,,,,,,
17,Officer 1st,"On scene report of fire fighting team. We are ready, sir.",act_001_000_008_000_001_030,,,,,,,,,
17,,,,,,,,,,,,
17,Officer 1st,"On scene report of fire fighting team. We are ready, sir.",act_001_000_008_000_001_032,,,,,,,,,
17,Captain,"On scene report of fire fighting team. We are ready, sir.",act_001_000_008_000_001_033,,,,,,,,,
18,Officer 1st,"On scene report of fire fighting team. We are ready, sir.",act_001_000_008_000_001_034,,,,,,,,,
18,Captain,"On scene report of fire fighting team. We are ready, sir.",act_001_000_008_000_001_035,,,,,,,,,
19,Broadcast,"On scene report of fire fighting team. We are ready, sir.",act_001_000_008_000_001_036,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
